   state_name   |             name             |  type   
 RHODE ISLAND         | Providence County            |     596270
 RHODE ISLAND         | Kent County                  |     161135
 RHODE ISLAND         | Washington County            |     110006
 RHODE ISLAND         | Newport County               |      87194
 RHODE ISLAND         | Bristol County               |      48859
 SOUTH CAROLINA       | Greenville County            |     320167
 SOUTH CAROLINA       | Charleston County            |     295039
 SOUTH CAROLINA       | Richland County              |     285720
 SOUTH CAROLINA       | Spartanburg County           |     226800
 SOUTH CAROLINA       | Lexington County             |     167611
 SOUTH DAKOTA         | Minnehaha County             |     123809
 SOUTH DAKOTA         | Pennington County            |      81343
 SOUTH DAKOTA         | Brown County                 |      35580
 SOUTH DAKOTA         | Brookings County             |      25207
 SOUTH DAKOTA         | Codington County             |      22698
 TENNESSEE            | Shelby County                |     826330
 TENNESSEE            | Davidson County              |     510784
 TENNESSEE            | Knox County                  |     335749
 TENNESSEE            | Hamilton County              |     285536
 TENNESSEE            | Sullivan County              |     143596
 TEXAS                | Harris County                |    2818199
 TEXAS                | Dallas County                |    1852810
 TEXAS                | Bexar County                 |    1185394
 TEXAS                | Tarrant County               |    1170103
 TEXAS                | El Paso County               |     591610
 UTAH                 | Salt Lake County             |     725956
 UTAH                 | Utah County                  |     263590
 UTAH                 | Davis County                 |     187941
 UTAH                 | Weber County                 |     158330
 UTAH                 | Cache County                 |      70183
 VERMONT              | Chittenden County            |     131761
 VERMONT              | Rutland County               |      62142
 VERMONT              | Washington County            |      54928
 VERMONT              | Windsor County               |      54055
 VERMONT              | Windham County               |      41588
 VIRGINIA             | Fairfax County               |     818584
 VIRGINIA             | Virginia Beach               |     393069
 VIRGINIA             | Norfolk                      |     261229
 VIRGINIA             | Henrico County               |     217881
 VIRGINIA             | Prince William County        |     215686
 WASHINGTON           | King County                  |    1507319
 WASHINGTON           | Pierce County                |     586203
 WASHINGTON           | Snohomish County             |     465642
 WASHINGTON           | Spokane County               |     361364
 WASHINGTON           | Clark County                 |     238053
 WEST VIRGINIA        | Kanawha County               |     207619
 WEST VIRGINIA        | Cabell County                |      96827
 WEST VIRGINIA        | Wood County                  |      86915
 WEST VIRGINIA        | Raleigh County               |      76819
 WEST VIRGINIA        | Monongalia County            |      75509
 WISCONSIN            | Milwaukee County             |     959275
 WISCONSIN            | Dane County                  |     367085
 WISCONSIN            | Waukesha County              |     304715
 WISCONSIN            | Brown County                 |     194594
 WISCONSIN            | Racine County                |     175034
 WYOMING              | Laramie County               |      73142
 WYOMING              | Natrona County               |      61226
 WYOMING              | Sweetwater County            |      38823
 WYOMING              | Fremont County               |      33662
 WYOMING              | Albany County                |      30797
(249 rows)

 zip_code |     zip_name     |               name                | distance 
----------+------------------+-----------------------------------+----------
    90001 | LOS ANGELES      | Florence-Graham                   |     0.45
    90008 | LOS ANGELES      | View Park-Windsor Hills           |     1.12
    90022 | EAST LOS ANGELES | East Los Angeles                  |     0.96
    90040 | CITY OF COMMERCE | Commerce                          |     0.08
    90047 | LOS ANGELES      | Westmont                          |     1.09
    90056 | LOS ANGELES      | Ladera Heights                    |     0.62
    90058 | VERNON           | Vernon                            |     1.44
    90059 | LOS ANGELES      | Willowbrook                       |     0.94
    90061 | LOS ANGELES      | West Athens                       |     1.72
    90069 | WEST HOLLYWOOD   | West Hollywood                    |     0.46
    90201 | BELL GARDENS     | Bell                              |     0.79
    90201 | BELL GARDENS     | Bell Gardens                      |     1.08
    90201 | BELL GARDENS     | Cudahy                            |     0.63
    90210 | BEVERLY HILLS    | Beverly Hills                     |     0.78
    90210 | BEVERLY HILLS    | Los Angeles                       |     1.50
    90220 | RANCHO DOMINGUEZ | Compton                           |     0.71
    90221 | EAST RANCHO DOMI | East Compton                      |     0.53
    90232 | CULVER CITY      | Culver City                       |     0.74
    90241 | DOWNEY           | Downey                            |     0.24
    90245 | EL SEGUNDO       | El Segundo                        |     1.17
    90247 | GARDENA          | Gardena                           |     0.49
    90247 | GARDENA          | West Compton                      |     1.48
    90250 | HOLLY PARK       | Del Aire                          |     1.23
    90250 | HOLLY PARK       | Hawthorne                         |     0.10
    90254 | HERMOSA BEACH    | Hermosa Beach                     |     1.74
